case,config,y_CH4_biogas,h_H2_to_CFR,dTmin_K,CO2_carbon_fixed_fraction,C_total_tpd,Q_H_min_kW,H2_exportable_tpd,H2_fired_tpd,H2_after_heat_tpd,boundary,power_source,aux_power_kW,H2_for_aux_tpd,H2_net_final_tpd,self_sufficient,bottoming_heat_source_650K_kW,bottoming_power_eta0.20_kW,aux_residual_eta0.20_kW,H2_net_final_with_bottoming_eta0.20_tpd,bottoming_power_eta0.25_kW,aux_residual_eta0.25_kW,H2_net_final_with_bottoming_eta0.25_tpd
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,20.0,0.9481214692784142,58.648211192612344,4163.551402335632,4.432782518821553,3.5281842262571557,0.9045982925643976,excl. upgrading (submitted boundary),H2 engine 0.40,980.476735162334,1.7655643490318136,-0.860966056467416,False,3170.825900152088,634.1651800304176,346.3115551319164,0.2809880492296142,792.706475038022,187.77026012431202,0.5664765756538718
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,20.0,0.9481214692784142,58.648211192612344,4163.551402335632,4.432782518821553,3.5281842262571557,0.9045982925643976,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2144.7436012929415,3.0896666525228453,-2.1850683599584477,False,3170.825900152088,634.1651800304176,1510.578421262524,-1.2715050754008228,792.706475038022,1352.0371262549197,-1.0431142542614171
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,20.0,0.9481214692784142,58.648211192612344,4163.551402335632,4.432782518821553,3.5281842262571557,0.9045982925643976,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2144.7436012929415,3.862083315653556,-2.9574850230891583,False,3170.825900152088,634.1651800304176,1510.578421262524,-1.8155309173921284,792.706475038022,1352.0371262549197,-1.5300423909678704
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,30.0,0.9481214692784142,58.648211192612344,4215.3522513466805,4.432782518821553,3.572080150848116,0.8607023679734374,excl. upgrading (submitted boundary),fuel cell 0.50,980.476735162334,1.412451479225451,-0.5517491112520136,False,3170.825900152088,634.1651800304176,346.3115551319164,0.3618141733056106,792.706475038022,187.77026012431202,0.5902049944450167
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,30.0,0.9481214692784142,58.648211192612344,4215.3522513466805,4.432782518821553,3.572080150848116,0.8607023679734374,excl. upgrading (submitted boundary),H2 engine 0.40,980.476735162334,1.7655643490318136,-0.9048619810583762,False,3170.825900152088,634.1651800304176,346.3115551319164,0.23709212463865392,792.706475038022,187.77026012431202,0.5225806510629115
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,30.0,0.9481214692784142,58.648211192612344,4215.3522513466805,4.432782518821553,3.572080150848116,0.8607023679734374,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2144.7436012929415,3.0896666525228453,-2.228964284549408,False,3170.825900152088,634.1651800304176,1510.578421262524,-1.315400999991783,792.706475038022,1352.0371262549197,-1.0870101788523774
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,30.0,0.9481214692784142,58.648211192612344,4215.3522513466805,4.432782518821553,3.572080150848116,0.8607023679734374,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2144.7436012929415,3.862083315653556,-3.0013809476801185,False,3170.825900152088,634.1651800304176,1510.578421262524,-1.8594268419830886,792.706475038022,1352.0371262549197,-1.5739383155588307
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,20.0,0.98778901424521,59.59855245486989,5281.671847833779,4.079078578256059,4.475677012499495,-0.3965984342434359,excl. upgrading (submitted boundary),fuel cell 0.50,1115.6054154207584,1.6071146440635173,-2.003713078306953,False,4284.603583076706,856.9207166153412,258.68469880541716,-0.7692534625345531,1071.1508957691765,44.454519651581904,-0.46063855859145303
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,20.0,0.98778901424521,59.59855245486989,5281.671847833779,4.079078578256059,4.475677012499495,-0.3965984342434359,excl. upgrading (submitted boundary),H2 engine 0.40,1115.6054154207584,2.0088933050793965,-2.4054917393228323,False,4284.603583076706,856.9207166153412,258.68469880541716,-0.8624172196073323,1071.1508957691765,44.454519651581904,-0.4766485896784573
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,20.0,0.98778901424521,59.59855245486989,5281.671847833779,4.079078578256059,4.475677012499495,-0.3965984342434359,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2279.872281551366,3.2843298173609115,-3.6809282516043473,False,4284.603583076706,856.9207166153412,1422.9515649360249,-2.4464686358319474,1071.1508957691765,1208.7213857821896,-2.137853731888847
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,20.0,0.98778901424521,59.59855245486989,5281.671847833779,4.079078578256059,4.475677012499495,-0.3965984342434359,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2279.872281551366,4.105412271701138,-4.502010705944574,False,4284.603583076706,856.9207166153412,1422.9515649360249,-2.958936186229075,1071.1508957691765,1208.7213857821896,-2.5731675563001994
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,30.0,0.98778901424521,59.59855245486989,5339.418304555819,4.079078578256059,4.524611231881212,-0.44553265362515315,excl. upgrading (submitted boundary),fuel cell 0.50,1115.6054154207584,1.6071146440635173,-2.0526472976886705,False,4284.603583076706,856.9207166153412,258.68469880541716,-0.8181876819162703,1071.1508957691765,44.454519651581904,-0.5095727779731702
