T_K,tau_s,P_bar,Y_CH4,X_COx,Y_Csolid,dy_Y_CH4_dk_meth,dy_Y_CH4_dEa_meth,dy_Y_CH4_dk_carb,dy_Y_CH4_dEa_carb,dy_Y_CH4_dk_crack,dy_Y_CH4_dEa_crack,dy_Y_CH4_dn,dy_X_COx_dk_meth,dy_X_COx_dEa_meth,dy_X_COx_dk_carb,dy_X_COx_dEa_carb,dy_X_COx_dk_crack,dy_X_COx_dEa_crack,dy_X_COx_dn,dy_Y_Csolid_dk_meth,dy_Y_Csolid_dEa_meth,dy_Y_Csolid_dk_carb,dy_Y_Csolid_dEa_carb,dy_Y_Csolid_dk_crack,dy_Y_Csolid_dEa_crack,dy_Y_Csolid_dn,wall_s
725.0,1.0,5.0,0.2987098197804561,0.2987098197804561,0.0,0.06619539955507736,0.1267039020743807,0.06532374460447438,0.13766375431488592,-0.03561294312121738,-0.10930685718013729,0.10564760265963091,0.06619539955531051,0.12670390207441817,0.0653237446045285,0.1376637543149234,-0.0356129431211577,-0.10930685718010813,0.10564760265961648,0.0,0.0,0.0,0.0,-7.641073988029541e-20,0.0,0.0,2.6011860370635986
725.0,3.0,1.01325,0.032486732135053466,0.03248673213504971,0.0,0.006221358762257233,0.011910453338168092,0.03242667828053693,0.06831439128631937,-0.007166505026741377,-0.021980828420782583,0.0,0.0062213587623871636,0.011910453338184745,0.032426678280658705,0.06831439128634487,-0.007166505026673375,-0.021980828420770093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5291147232055664
725.0,3.0,5.0,0.4135649590213353,0.4136139607603576,4.900173901747616e-05,0.022298305882280378,0.048151090124005924,0.08601994300882904,0.19162855966319003,-0.012613218931124826,-0.06656242314424937,0.047440334521818284,0.02109470706127825,0.04937291999682625,0.08608618507062182,0.19289474496654024,-0.012613218931029069,-0.06779274991077777,0.04744033452178442,-0.0012035988210380585,0.001221829872768901,6.624206186870668e-05,0.0012661853033264117,0.0,-0.001230326766606708,0.0,2.616683006286621
725.0,10.0,1.01325,0.10089869995609466,0.10089869995609835,0.0,0.017316486411375273,0.03315009243392564,0.09493636074318912,0.199983447532278,-0.021277019714746256,-0.06525944251650068,0.0,0.017316486411239618,0.03315009243394784,0.0949363607432141,0.19998344753230923,-0.021277019714716072,-0.06525944251662974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5216450691223145
725.0,10.0,5.0,0.5365895751405786,0.5570426875004963,0.020453112359915166,-0.006160499093516014,-0.013000174941135702,0.02549019012938747,0.055220691516352775,0.01591865907680512,0.052358516013531475,-0.011889320663674985,0.0067887701390961785,0.010316490553752278,0.15014655676475197,0.3214693842859967,-0.028508476239069713,-0.0765264546775557,0.0065414595366974915,0.012949269232575937,0.023316665494846952,0.12465636663534828,0.26624869276978785,-0.04442713531583276,-0.12888497069112204,0.018430780200343715,2.5710289478302
750.0,1.0,1.01325,0.022139432618142198,0.022139432618144994,1.5282147976059084e-21,0.004143207261101452,0.010225000750057646,0.02455110080666059,0.06672348575867673,-0.00698355745855344,-0.02766193982920266,0.0,0.004143207261106396,0.010225000750127555,0.024551100806599613,0.06672348575884335,-0.006983557458600798,-0.027661939829154433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5136799812316895
750.0,1.0,5.0,0.36504686577286505,0.3650837892452654,3.6923472399421574e-05,0.03591836750424793,0.0897426632160983,0.04721070998830457,0.12895847442079694,0.006619592039489031,0.015374842892132425,0.05790779956660386,0.03683968928909209,0.08974266321614133,0.04729009337962886,0.12895847442101205,0.005854928613888144,0.015118898328969623,0.05827409402514472,0.0009213217847766823,0.0,7.938339112155238e-05,0.0,-0.0007646634257703038,-0.0002559445631157032,0.00036629445845579907,2.6261632442474365
750.0,3.0,1.01325,0.06391392985537878,0.06391392985538169,0.0,0.01130349861807635,0.027894552480417847,0.0689026717180033,0.18724223277577032,-0.01990268187740847,-0.07884031517320438,0.0,0.011303498618053798,0.02789455248039807,0.06890267171798525,0.18724223277568341,-0.01990268187730404,-0.07884031517328693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5177268981933594
750.0,3.0,5.0,0.4803307945834311,0.4860192769859082,0.005688482402476778,0.0037332785052121564,0.006303052371872675,0.06913898067643781,0.19113287244857252,0.0072403904319659484,0.026579928395724373,0.004302526714630717,0.01399558225656794,0.028224051291733665,0.13533007939913744,0.369353007356657,-0.024804056302679678,-0.10055391484206366,0.019658507390658553,0.010262303751464051,0.021920998920048146,0.06619109872259502,0.1782201349081022,-0.03204444673469665,-0.1271338432378184,0.015355980676025312,2.58459210395813
750.0,10.0,1.01325,0.1882951531892433,0.18829515318924528,0.0,0.02873387183479556,0.07090263802236457,0.18714551920785555,0.508618810558266,-0.05823860718237733,-0.23089182765304098,0.0,0.028733871834960012,0.07090263802233543,0.18714551920777645,0.5086188105581008,-0.05823860718235652,-0.23089182765295146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524214744567871
