case,config,y_CH4_biogas,h_H2_to_CFR,CO2_carbon_fixed_fraction,C_total_tpd,heat_recovery_fraction,boundary,power_source,aux_power_kW,H2_exportable_tpd,H2_burned_for_heat_tpd,H2_after_heat_tpd,H2_for_auxiliaries_tpd,H2_net_final_tpd,self_sufficient,heat_recovery_required_for_zero_net,grid_cost_usd_y_at_0p06,grid_cost_usd_y_at_0p04,grid_cost_usd_y_at_0p08
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.5,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2280.34371175721,2.550625060225989,2.100821136073318,0.44980392415267056,4.106261185637233,-3.656457261484562,False,1.5590828321377825,1083619.331827026,722412.887884684,1444825.775769368
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.5,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2280.34371175721,2.550625060225989,2.100821136073318,0.44980392415267056,3.2850089485097858,-2.835205024357115,False,1.3212093707525705,1083619.331827026,722412.887884684,1444825.775769368
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.5,incl. upgrading (high 0.45),H2 engine 0.40,3296.4311585621035,2.550625060225989,2.100821136073318,0.44980392415267056,5.935950465598025,-5.486146541445354,False,2.089047321252651,1566464.0865487114,1044309.3910324743,2088618.7820649487
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,0.9625301138167857,64.23430197116903,0.5,incl. upgrading (high 0.45),fuel cell 0.50,3296.4311585621035,2.550625060225989,2.100821136073318,0.44980392415267056,4.74876037247842,-4.29895644832575,False,1.7451809620444656,1566464.0865487114,1044309.3910324743,2088618.7820649487
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.0,excl. upgrading (submitted boundary),H2 engine 0.40,1392.8493164669785,4.802755435542439,3.5777545680851266,1.2250008674573123,2.508132022449541,-1.2831311549922289,False,0.47359784115678144,661881.9951851082,441254.6634567388,882509.3269134776
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.0,excl. upgrading (submitted boundary),fuel cell 0.50,1392.8493164669785,4.802755435542439,3.5777545680851266,1.2250008674573123,2.006505617959633,-0.7815047505023207,False,0.28844982935038294,661881.9951851082,441254.6634567388,882509.3269134776
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.0,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2557.116182597586,4.802755435542439,3.5777545680851266,1.2250008674573123,4.604650989071283,-3.3796501216139707,False,1.2474134037150117,1215141.6099703729,810094.4066469152,1620188.8132938305
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.0,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2557.116182597586,4.802755435542439,3.5777545680851266,1.2250008674573123,3.6837207912570267,-2.4587199237997144,False,0.9075022793969673,1215141.6099703729,810094.4066469152,1620188.8132938305
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.0,incl. upgrading (high 0.45),H2 engine 0.40,3488.529675502072,4.802755435542439,3.5777545680851266,1.2250008674573123,6.281866162368678,-5.056865294911365,False,1.8664658537615963,1657749.3017985846,1105166.2011990566,2210332.402398113
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.0,incl. upgrading (high 0.45),fuel cell 0.50,3488.529675502072,4.802755435542439,3.5777545680851266,1.2250008674573123,5.025492929894942,-3.80049206243763,False,1.4027442394342349,1657749.3017985846,1105166.2011990566,2210332.402398113
