feed_case,phi_meth_to_rwgs_inlet_rate_ratio,k2_uncalibrated_mol_m3_s,tau_s,X_CO2_kinetic,X_CO2_gibbs_equilibrium,X_CO2_rwgs_only_equilibrium,approach_to_gibbs,xi1_RWGS_kmol_d,xi2_CO2_methanation_kmol_d,CO_out_kmol_d,CH4_out_kmol_d,H2O_out_kmol_d,H2_out_kmol_d,CO2_out_kmol_d,Q_RWGS_kW,Q_meth_kW,Q2_total_kinetic_kW,Q2_gibbs_equilibrium_kW
B_kin_chain,0.01,0.2583511477157961,0.5,0.19366556677282332,0.8182836903147935,0.756497637044892,0.23667289115626908,183.12736860104584,1.697412794999258,183.12736860104584,1248.4730281263655,186.52219419104563,4550.449969340568,769.5254651444346,74.75481476746225,-3.717325457877173,71.03748930958508,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,1.0,0.33996452990480985,0.8182836903147935,0.756497637044892,0.4154604740735155,321.7364154251134,2.7088175045596645,321.7364154251134,1249.4844328359259,327.1540504342337,4407.79530367826,629.9050136108066,131.33671019676456,-5.932296669442366,125.40441352732219,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,2.0,0.5303906963160341,0.8182836903147935,0.756497637044892,0.6481745910296622,502.9833911011811,3.1951006908027013,502.9833911011811,1249.970716022169,509.3735924827871,4224.603195257221,448.17175474849626,205.32392574696823,-6.997254394095112,198.32667135287312,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,3.0,0.6340367100244793,0.8182836903147935,0.756497637044892,0.7748372814085608,602.7655256678939,2.327564859682116,602.7655256678939,1249.1031801910485,607.4206553872594,4128.291204014988,349.2571560129035,246.05620428959787,-5.097355300518058,240.95884898907983,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,5.0,0.7192396226448368,0.8182836903147935,0.756497637044892,0.878961210100797,687.748222301008,-1.341711108226366,687.748222301008,1245.43390422314,685.0648000845564,4057.9856112535103,267.9437353476984,280.7471726237085,2.9383405583016384,283.68551318201014,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,10.0,0.7521767255693048,0.8182836903147935,0.756497637044892,0.9192126575074991,730.8578068302147,-13.017763341138528,730.8578068302147,1233.7578519902277,704.8222801479396,4061.5802356559475,236.51020305140307,298.34502831727133,28.508836044596688,326.85386436186803,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,30.0,0.7594740470656043,0.8182836903147935,0.756497637044892,0.9281304956395193,779.9045277946624,-55.100283736507045,779.9045277946624,1191.6753315948592,669.7039603216494,4180.8635962729695,229.5460024823245,318.3664951720501,120.66934341098961,439.0358385830397,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,100.0,0.7754778844564509,0.8182836903147935,0.756497637044892,0.9476883061889267,891.2145524416327,-151.13704222392911,891.2145524416327,1095.6385731074372,588.9404679937759,4453.700605575686,214.2727363227763,363.8045983775499,330.98936000863273,694.7939583861826,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,0.1,0.046731523631838745,0.8182836903147935,0.756497637044892,0.057109195973172995,40.60663478826973,3.9916063109877657,40.60663478826973,1250.7672216423541,48.589847410245184,4683.793929089392,909.7520054412228,16.576121227079962,-8.741597684059224,7.8345235430207385,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,0.3,0.13190754352009848,0.8182836903147935,0.756497637044892,0.16120025986263234,114.99512326965359,10.890873409301078,114.99512326965359,1257.6664887406673,136.77687008825578,4581.808372214754,828.4642498615252,46.942405195109366,-23.85095782368611,23.091447371423257,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,0.5,0.20692666650613756,0.8182836903147935,0.756497637044892,0.25287888412701093,181.03498763636216,16.445527559569985,181.03498763636216,1263.2211428909363,213.92604275550173,4493.549891246971,756.8697313445482,73.90067945916404,-36.01562239044916,37.88505706871488,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,1.0,0.3566181915650575,0.8182836903147935,0.756497637044892,0.4358124154079944,315.1348545156256,25.20380452530735,315.1348545156256,1271.9794198566738,365.54246356623975,4324.416916504757,614.0115874995475,128.64187289999762,-55.196204761332595,73.44566813866503,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,2.0,0.5388811758716269,0.8182836903147935,0.756497637044892,0.6585505519049505,487.80964040273386,26.47174264637755,487.80964040273386,1273.2473579777438,540.753125695488,4146.670378133371,440.0688634913693,199.129816524216,-57.97298284993494,141.15683367428107,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,3.0,0.629694256764338,0.8182836903147935,0.756497637044892,0.7695304992845388,585.5482977825071,15.400571405663142,585.5482977825071,1262.1761867370294,616.3494405938326,4093.2164057164528,353.4013773523099,239.02792287424458,-33.72717368502684,205.30074918921775,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,5.0,0.7002427550128743,0.8182836903147935,0.756497637044892,0.855745706899634,686.3967927106893,-18.119946825967624,686.3967927106893,1228.6556685053986,650.1568990587534,4126.4499837147905,286.07340065575863,280.1955026605167,39.68259213668739,319.8780947972041,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,10.0,0.7404818536311812,0.8182836903147935,0.756497637044892,0.9049207046352323,800.5431390555707,-93.8640994839012,800.5431390555707,1152.9115158474651,612.8149400877684,4315.28024800164,247.67120696881062,326.79142681199534,205.56190434064337,532.3533311526387,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,30.0,0.7845239936960247,0.8182836903147935,0.756497637044892,0.9587432854664603,986.3756917701915,-237.6650249694684,986.3756917701915,1009.110590361898,511.04564183125524,4704.65139722929,205.639579739757,402.6505305716875,520.485205701778,923.1357362734655,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,100.0,0.8141582608697625,0.8182836903147935,0.756497637044892,0.9949584361831237,1115.353926531247,-338.36178954722106,1115.353926531247,908.4138257841452,438.6303474368057,4978.460220779242,177.3581095564538,455.30101161257494,741.0106121282731,1196.311623740848,1234.5743847839083
B_kin_chain,1.0,25.83511477157961,0.1,0.08100205549286765,0.8182836903147935,0.756497637044892,0.09899018696279549,39.65546077833259,37.6488708515718,39.65546077833259,1284.4244861829382,114.95320248147571,4550.116044936992,877.0459149105765,16.18784045033063,-82.45083723251825,-66.26299678218763,1234.5743847839083
B_kin_chain,1.0,25.83511477157961,0.3,0.2072678169850799,0.8182836903147935,0.756497637044892,0.253295793913898,107.84367435864243,89.96241788097565,107.84367435864243,1336.7380332123419,287.76851012059325,4272.673643239067,756.5441543008623,44.023096941266225,-197.01724131358486,-152.99414437231863,1234.5743847839083
B_kin_chain,1.0,25.83511477157961,0.5,0.29496493078248265,0.8182836903147935,0.756497637044892,0.36046781119272914,164.69168612253665,116.80816829052121,164.69168612253665,1363.5837836218875,398.3080227035784,4108.442629836992,672.8503921274223,67.22914539689918,-255.80929927804945,-188.58015388115027,1234.5743847839083
B_kin_chain,1.0,25.83511477157961,1.0,0.4145858175292575,0.8182836903147935,0.756497637044892,0.5066529156529643,276.78433595116024,118.87574122007275,276.78433595116024,1365.651356551439,514.5358183913056,3988.079688290161,558.6901693692469,112.98672570150097,-260.33727356319855,-147.35054786169758,1234.5743847839083
B_kin_chain,1.0,25.83511477157961,2.0,0.5155192096055894,0.8182836903147935,0.756497637044892,0.6300005923462427,440.44409068036407,51.541794103083355,440.44409068036407,1298.3174094344497,543.5276788865303,4093.7557220289195,462.3643617570326,179.79462417746947,-112.8762690657926,66.91835511167687,1234.5743847839083
